"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Yp[1,1]",1.00049661933333,0.135530632830198,0.728427193742867,0.911649499930482,1.0040749769813,1.08864999779554,1.25893925274195,1.00036115298795,1500
"Yp[2,1]",1.003266312,0.133912557920012,0.734127655547911,0.915064749512215,1.0069199992055,1.09065249978511,1.25900539695964,1.00037779732363,1500
"Yp[3,1]",1.00603603733333,0.132305487715725,0.740351913585426,0.919780691575111,1.00941997602584,1.09263499996568,1.25911373786896,1.00039674989673,1500
"Yp[4,1]",1.00880596466667,0.130710110288395,0.745971716819984,0.925073249963415,1.01221999683863,1.09462999986297,1.25869523334768,1.0004181689095,1500
"Yp[5,1]",1.01157559466667,0.129126257084504,0.750494371824428,0.928750208255955,1.0153049865927,1.09705499422363,1.25752649329721,1.00044210856274,1500
"Yp[6,1]",1.01434534866667,0.127554873963233,0.755619321415841,0.932680999684773,1.01681999168978,1.09910499996588,1.25778566436052,1.00046875224029,1500
"Yp[7,1]",1.01711503466667,0.12599618408723,0.762980444335141,0.936775974574208,1.01984497518005,1.10086249999148,1.25728614492246,1.00049824466157,1500
"Yp[8,1]",1.01988478666667,0.124450819513636,0.769153511062856,0.939600725745198,1.02189495741979,1.10282749808739,1.25697055334146,1.00053079887212,1500
"Yp[9,1]",1.02265453333333,0.122919067010848,0.773953761399807,0.943690939542476,1.02473999995121,1.10476249978785,1.25711595937299,1.00056646572787,1500
"Yp[10,1]",1.025424342,0.121401794405647,0.778948647058957,0.948505498006897,1.0273749985278,1.1067899987803,1.25576381634261,1.00060548728654,1500
"Yp[11,1]",1.02819401,0.119899071340215,0.785160694718826,0.951822247252904,1.03007999301025,1.10882749694796,1.25575451939442,1.00064804617815,1500
"Yp[12,1]",1.03096377133333,0.118411969236675,0.790920824014293,0.95510099722945,1.03286999956432,1.11035498213656,1.25569419112521,1.00069432777019,1500
"Yp[13,1]",1.03373347066667,0.116940662669416,0.797353929508095,0.959129473767979,1.03495999879222,1.11229999946059,1.25591824832216,1.00074452660934,1500
"Yp[14,1]",1.03650317066667,0.115485930559231,0.803814103186615,0.963633746812548,1.03785499940984,1.11400247636433,1.25632299857082,1.00079881217544,1500
"Yp[15,1]",1.039272946,0.114048505193692,0.809599515652468,0.967122719049251,1.04013999692349,1.11582249931947,1.25668649329273,1.0008573701323,1500
"Yp[16,1]",1.04204272066667,0.112628925852401,0.816913932379376,0.970809247042399,1.0430399723884,1.11756749898499,1.25736104149543,1.00092043078482,1500
"Yp[17,1]",1.04481241066667,0.111227790526818,0.823266899706785,0.974023496950222,1.04483999827725,1.11949749992463,1.25836468815855,1.00098817529195,1500
"Yp[18,1]",1.04758218066667,0.109845963109764,0.830279045360798,0.977127741306443,1.04779497994598,1.12173749992478,1.25896440487977,1.00106088258406,1500
"Yp[19,1]",1.050351956,0.108484123340214,0.836194320422208,0.98145874245684,1.04977498998595,1.12355499916562,1.26070549521307,1.00113883209804,1500
"Yp[20,1]",1.05312154133333,0.10714286705958,0.842082708407906,0.985327249752521,1.05194499571033,1.12597499970027,1.26116224168521,1.00122209838264,1500
"Yp[21,1]",1.05589144733333,0.105823347824601,0.847939941888087,0.989078246395555,1.0542599969647,1.12778999521221,1.2607682654439,1.00131093237364,1500
"Yp[22,1]",1.05866124133333,0.104526112569244,0.852900603676269,0.992880244424005,1.05806499989367,1.12942498801516,1.26192347118732,1.00140563678242,1400
"Yp[23,1]",1.061430914,0.103252114585598,0.857382714225609,0.997055999271835,1.0604799893916,1.13229749992548,1.26203301871228,1.00150642609897,1300
"Yp[24,1]",1.06420050866667,0.102002112961446,0.863173871962906,1.00082749976581,1.06242999769397,1.13427999788422,1.26008319726757,1.00161333748103,1200
"Yp[25,1]",1.066970462,0.10077720711423,0.868789614467727,1.00383749416254,1.06589499482829,1.1371574999258,1.26038829268011,1.00172674344742,1200
"Yp[26,1]",1.06974017666667,0.0995780786641271,0.873884012244234,1.0073547904986,1.06813999882974,1.13869749399855,1.26227074477449,1.00184677339536,1100
"Yp[27,1]",1.07250984,0.0984057100965359,0.878969120655673,1.00958749976785,1.0713149997083,1.14038249999178,1.26406906485631,1.00197379727734,1000
